,location,total_sqft,bath,price,bhk
74,2nd Phase JP Nagar,1040.0,2.0,78.0,2
75,2nd Phase JP Nagar,850.0,2.0,42.5,2
76,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
77,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
78,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
79,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
80,2nd Phase Judicial Layout,900.0,2.0,41.0,2
81,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
82,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
83,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
84,2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4
85,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
86,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
87,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
88,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
89,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
90,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
91,3rd Block Banashankari,2400.0,8.0,650.0,6
92,3rd Block Banashankari,1200.0,4.0,175.0,4
93,3rd Block Banashankari,2400.0,4.0,325.0,5
94,3rd Block Hrbr Layout,1056.0,2.0,80.0,2
95,3rd Block Hrbr Layout,1320.0,2.0,90.0,2
96,3rd Block Hrbr Layout,1300.0,2.0,95.0,2
97,3rd Block Hrbr Layout,1650.0,3.0,140.0,3
98,3rd Block Jayanagar,2150.0,3.0,240.0,3
99,3rd Block Koramangala,2100.0,3.0,270.0,3
100,3rd Phase JP Nagar,4500.0,4.0,345.0,4
101,4th Block Jayanagar,900.0,2.0,70.0,2
102,4th Block Jayanagar,2005.0,3.0,240.0,3
103,4th Block Jayanagar,1567.2,2.0,190.0,3
104,4th Block Koramangala,1225.0,2.0,150.0,2
105,4th Block Koramangala,4500.0,9.0,500.0,9
106,4th Block Koramangala,1800.0,3.0,140.0,3
107,4th Block Koramangala,3400.0,6.0,420.0,4
108,4th Block Koramangala,1269.0,2.0,97.0,2
109,4th Phase JP Nagar,1070.0,2.0,38.9,2
110,4th Phase JP Nagar,1080.0,2.0,38.0,2
111,4th Phase JP Nagar,600.0,4.0,70.0,2
112,4th T block Jayanagar,2401.0,3.0,185.0,3
113,4th T block Jayanagar,3900.0,4.0,333.0,4
114,4th T block Jayanagar,1550.0,4.0,120.0,4
115,4th T block Jayanagar,2100.0,3.0,220.0,3
116,4th T block Jayanagar,2400.0,3.0,185.0,3
117,5th Block Hbr Layout,1206.0,2.0,56.0,2
118,5th Block Hbr Layout,1270.0,2.0,70.0,3
119,5th Block Hbr Layout,1312.0,2.0,69.0,2
120,5th Block Hbr Layout,1100.0,2.0,48.0,2
121,5th Block Hbr Layout,3600.0,5.0,130.0,5
122,5th Block Hbr Layout,5100.0,5.0,300.0,6
123,5th Phase JP Nagar,1075.0,2.0,60.0,2
124,5th Phase JP Nagar,1150.0,3.0,52.5,2
125,5th Phase JP Nagar,1256.0,2.0,62.8,2
126,5th Phase JP Nagar,1207.0,2.0,63.0,2
127,5th Phase JP Nagar,1725.0,2.0,100.0,3
128,5th Phase JP Nagar,1440.0,2.0,60.0,2
129,5th Phase JP Nagar,1700.0,2.0,100.0,3
131,5th Phase JP Nagar,2500.0,5.0,110.0,5
132,5th Phase JP Nagar,600.0,1.0,30.0,1
133,5th Phase JP Nagar,1390.0,2.0,65.0,2
134,5th Phase JP Nagar,1256.0,2.0,62.8,2
135,5th Phase JP Nagar,1000.0,2.0,48.0,2
136,5th Phase JP Nagar,1350.0,2.0,75.0,3
137,5th Phase JP Nagar,552.0,1.0,23.5,1
138,5th Phase JP Nagar,1200.0,2.0,51.0,2
142,5th Phase JP Nagar,1030.0,2.0,57.0,2
143,5th Phase JP Nagar,1200.0,2.0,68.0,2
144,5th Phase JP Nagar,1190.0,2.0,61.8,2
145,5th Phase JP Nagar,4000.0,5.0,170.0,5
146,5th Phase JP Nagar,1080.0,2.0,53.0,2
147,5th Phase JP Nagar,1041.0,2.0,54.0,2
148,5th Phase JP Nagar,812.0,2.0,42.0,2
149,5th Phase JP Nagar,1010.0,2.0,57.0,2
151,5th Phase JP Nagar,1075.0,2.0,60.0,2
152,5th Stage BEML Layout,2000.0,3.0,85.0,3
153,5th Stage BEML Layout,2000.0,3.0,85.0,3
154,6th Phase JP Nagar,1192.0,2.0,74.0,2
155,6th Phase JP Nagar,1180.0,2.0,80.0,2
156,6th Phase JP Nagar,3245.0,4.0,250.0,4
157,6th Phase JP Nagar,1645.0,3.0,100.0,3
158,6th Phase JP Nagar,1140.0,2.0,65.0,2
159,6th Phase JP Nagar,2040.0,3.0,200.0,3
160,6th Phase JP Nagar,1213.0,2.0,63.0,2
161,6th Phase JP Nagar,1216.0,2.0,60.0,2
162,6th Phase JP Nagar,1460.0,2.0,80.0,2
163,6th Phase JP Nagar,2003.0,3.0,200.0,3
164,6th Phase JP Nagar,1810.0,3.0,131.0,3
165,6th Phase JP Nagar,1515.0,2.0,135.0,3
166,6th Phase JP Nagar,1192.0,2.0,75.0,2
167,6th Phase JP Nagar,1280.0,2.0,88.0,2
168,6th block Koramangala,1117.0,2.0,110.0,2
169,6th block Koramangala,3000.0,3.0,400.0,3
170,7th Block Jayanagar,3000.0,3.0,528.0,5
171,7th Block Jayanagar,2400.0,3.0,408.0,3
172,7th Block Jayanagar,1903.0,2.0,293.0,3
173,7th Phase JP Nagar,1080.0,2.0,72.0,2
174,7th Phase JP Nagar,1270.0,2.0,93.0,2
175,7th Phase JP Nagar,1420.0,2.0,100.0,3
176,7th Phase JP Nagar,1850.0,3.0,150.0,3
177,7th Phase JP Nagar,1245.0,2.0,94.0,2
178,7th Phase JP Nagar,1175.0,2.0,82.0,2
179,7th Phase JP Nagar,1400.0,2.0,95.0,3
180,7th Phase JP Nagar,2225.0,3.0,160.0,3
181,7th Phase JP Nagar,1050.0,2.0,71.0,2
182,7th Phase JP Nagar,1100.0,2.0,46.0,2
183,7th Phase JP Nagar,918.0,2.0,50.49,2
184,7th Phase JP Nagar,1450.0,2.0,100.0,3
185,7th Phase JP Nagar,1190.0,2.0,49.98,2
186,7th Phase JP Nagar,1420.0,2.0,96.0,3
187,7th Phase JP Nagar,1680.0,3.0,120.0,3
188,7th Phase JP Nagar,980.0,2.0,69.0,2
189,7th Phase JP Nagar,1180.0,2.0,72.0,2
193,7th Phase JP Nagar,1400.0,3.0,115.0,3
194,7th Phase JP Nagar,1270.0,2.0,83.0,2
196,7th Phase JP Nagar,2503.0,4.0,188.0,4
197,7th Phase JP Nagar,2200.0,3.0,190.0,3
200,7th Phase JP Nagar,1575.0,2.0,110.0,3
201,7th Phase JP Nagar,1850.0,3.0,140.0,3
202,7th Phase JP Nagar,1575.0,2.0,120.0,3
203,7th Phase JP Nagar,1850.0,3.0,150.0,3
204,7th Phase JP Nagar,1680.0,3.0,120.0,3
205,7th Phase JP Nagar,1175.0,2.0,82.5,2
208,7th Phase JP Nagar,1215.0,2.0,90.0,2
209,7th Phase JP Nagar,1050.0,2.0,75.0,2
210,7th Phase JP Nagar,1300.0,3.0,89.13,3
211,7th Phase JP Nagar,1130.0,2.0,73.0,2
212,7th Phase JP Nagar,1450.0,3.0,100.0,3
214,7th Phase JP Nagar,1050.0,2.0,50.0,2
215,7th Phase JP Nagar,1275.0,2.0,87.0,2
217,7th Phase JP Nagar,1650.0,3.0,110.0,3
218,7th Phase JP Nagar,850.0,2.0,42.0,2
219,7th Phase JP Nagar,1680.0,3.0,117.0,3
220,7th Phase JP Nagar,1850.0,3.0,150.0,3
221,7th Phase JP Nagar,1236.0,2.0,61.33,2
222,7th Phase JP Nagar,1000.0,2.0,53.0,2
223,7th Phase JP Nagar,1680.0,3.0,125.0,3
224,7th Phase JP Nagar,1675.0,2.0,135.0,3
225,7th Phase JP Nagar,1187.0,2.0,59.0,2
226,7th Phase JP Nagar,1850.0,3.0,155.0,3
227,7th Phase JP Nagar,1000.0,2.0,61.0,2
228,7th Phase JP Nagar,1460.0,2.0,100.0,3
229,7th Phase JP Nagar,1650.0,3.0,110.0,3
230,7th Phase JP Nagar,1200.0,2.0,62.5,2
231,7th Phase JP Nagar,1000.0,2.0,70.65,2
232,7th Phase JP Nagar,1080.0,2.0,75.0,2
234,7th Phase JP Nagar,1680.0,3.0,125.0,3
235,7th Phase JP Nagar,1460.0,2.0,97.0,3
236,7th Phase JP Nagar,1120.0,2.0,65.0,2
237,7th Phase JP Nagar,1100.0,3.0,60.0,2
238,7th Phase JP Nagar,1790.0,3.0,120.0,3
239,7th Phase JP Nagar,1680.0,3.0,117.0,3
240,7th Phase JP Nagar,1050.0,2.0,77.0,2
241,7th Phase JP Nagar,1050.0,2.0,75.0,2
242,7th Phase JP Nagar,1040.0,2.0,75.0,2
243,7th Phase JP Nagar,1400.0,2.0,95.0,3
244,7th Phase JP Nagar,1800.0,3.0,130.0,3
245,7th Phase JP Nagar,1050.0,2.0,68.0,2
246,7th Phase JP Nagar,1000.0,2.0,60.0,2
247,7th Phase JP Nagar,1680.0,3.0,125.0,3
248,7th Phase JP Nagar,1050.0,2.0,77.47,2
249,7th Phase JP Nagar,1270.0,2.0,80.0,2
251,7th Phase JP Nagar,1680.0,3.0,122.0,3
252,7th Phase JP Nagar,1130.0,2.0,85.0,2
253,7th Phase JP Nagar,1680.0,3.0,130.0,3
254,7th Phase JP Nagar,980.0,2.0,77.44,2
255,7th Phase JP Nagar,1680.0,3.0,112.0,3
257,7th Phase JP Nagar,2095.0,3.0,150.0,3
258,7th Phase JP Nagar,1976.0,3.0,145.0,3
259,7th Phase JP Nagar,1600.0,2.0,110.0,3
260,7th Phase JP Nagar,1765.0,3.0,118.0,3
261,7th Phase JP Nagar,1275.0,2.0,88.0,3
262,7th Phase JP Nagar,1450.0,2.0,102.0,3
263,7th Phase JP Nagar,1575.0,2.0,110.0,3
265,7th Phase JP Nagar,750.0,1.0,47.0,1
266,7th Phase JP Nagar,990.0,2.0,50.0,2
267,7th Phase JP Nagar,1000.0,1.0,60.0,1
269,7th Phase JP Nagar,1430.0,2.0,102.0,3
270,7th Phase JP Nagar,1128.0,2.0,60.0,2
271,7th Phase JP Nagar,1140.0,2.0,57.0,2
272,7th Phase JP Nagar,1420.0,3.0,90.0,3
273,7th Phase JP Nagar,1530.0,2.0,108.0,2
274,8th Block Jayanagar,2000.0,6.0,300.0,6
275,8th Phase JP Nagar,1073.5,2.0,54.005,2
276,8th Phase JP Nagar,451.0,1.0,29.9,1
278,8th Phase JP Nagar,1062.0,2.0,42.47,2
280,8th Phase JP Nagar,1455.0,3.0,73.31,3
281,8th Phase JP Nagar,871.0,2.0,55.0,2
282,8th Phase JP Nagar,1098.0,2.0,43.91,2
283,8th Phase JP Nagar,1800.0,3.0,80.0,3
284,8th Phase JP Nagar,2700.0,4.0,130.0,4
285,8th Phase JP Nagar,1080.0,2.0,38.0,2
286,8th Phase JP Nagar,1059.0,2.0,34.5,2
287,8th Phase JP Nagar,1080.0,2.0,35.0,2
289,8th Phase JP Nagar,1062.0,2.0,42.47,2
290,8th Phase JP Nagar,500.0,1.0,31.0,1
291,8th Phase JP Nagar,1100.0,2.0,35.0,2
292,8th Phase JP Nagar,2100.0,4.0,92.0,4
293,8th Phase JP Nagar,1035.0,2.0,39.33,2
294,8th Phase JP Nagar,909.0,2.0,40.9,2
295,8th Phase JP Nagar,1431.5,3.0,72.02,3
296,8th Phase JP Nagar,1900.0,4.0,90.0,3
297,8th Phase JP Nagar,500.0,1.0,30.0,1
298,8th Phase JP Nagar,1125.0,2.0,36.94,2
299,8th Phase JP Nagar,1100.0,2.0,35.0,2
300,8th Phase JP Nagar,1089.0,2.0,43.55,2
302,8th Phase JP Nagar,1504.0,2.0,83.0,3
303,8th Phase JP Nagar,2600.0,4.0,115.0,4
305,8th Phase JP Nagar,1089.0,2.0,43.55,2
307,8th Phase JP Nagar,1513.0,2.0,62.0,2
308,8th Phase JP Nagar,1298.0,2.0,59.0,2
309,8th Phase JP Nagar,1006.0,2.0,44.0,2
310,8th Phase JP Nagar,500.0,1.0,33.0,1
311,8th Phase JP Nagar,1160.0,2.0,95.0,2
312,8th Phase JP Nagar,1245.0,2.0,59.0,2
313,8th Phase JP Nagar,1510.0,2.0,80.0,2
314,8th Phase JP Nagar,3300.0,3.0,165.0,3
315,8th Phase JP Nagar,1730.0,5.0,75.0,5
318,8th Phase JP Nagar,1046.0,2.0,48.0,2
320,8th Phase JP Nagar,1408.0,3.0,80.0,3
322,8th block Koramangala,1846.0,3.0,300.0,3
323,8th block Koramangala,1410.0,1.0,233.0,2
324,8th block Koramangala,1165.0,2.0,135.0,2
325,8th block Koramangala,2400.0,3.0,290.0,3
326,9th Block Jayanagar,700.0,1.0,150.0,1
327,9th Phase JP Nagar,1005.0,2.0,50.0,2
329,9th Phase JP Nagar,1100.0,2.0,65.0,2
330,9th Phase JP Nagar,1080.0,2.0,37.0,2
331,9th Phase JP Nagar,1035.0,2.0,45.0,2
332,9th Phase JP Nagar,5000.0,4.0,290.0,4
333,9th Phase JP Nagar,1164.0,2.0,56.0,2
334,9th Phase JP Nagar,1005.0,2.0,42.0,2
335,9th Phase JP Nagar,1127.0,2.0,50.0,2
336,9th Phase JP Nagar,1005.0,2.0,43.0,2
337,9th Phase JP Nagar,835.0,2.0,37.0,2
338,9th Phase JP Nagar,1050.0,2.0,39.0,2
339,9th Phase JP Nagar,660.0,2.0,27.0,2
340,9th Phase JP Nagar,600.0,1.0,20.0,1
341,9th Phase JP Nagar,1466.0,2.0,71.0,2
342,9th Phase JP Nagar,1890.0,2.0,93.0,3
343,9th Phase JP Nagar,1079.0,2.0,60.0,2
344,9th Phase JP Nagar,1480.0,2.0,80.0,2
345,9th Phase JP Nagar,1200.0,2.0,80.0,2
346,9th Phase JP Nagar,905.0,2.0,32.0,2
347,9th Phase JP Nagar,1073.0,2.0,52.36,2
348,9th Phase JP Nagar,1719.3,2.0,88.0,3
349,9th Phase JP Nagar,1780.0,3.0,88.0,3
351,9th Phase JP Nagar,1522.0,3.0,90.0,3
354,9th Phase JP Nagar,890.0,2.0,45.0,2
356,9th Phase JP Nagar,5000.0,4.0,300.0,4
358,9th Phase JP Nagar,1050.0,2.0,35.0,2
359,9th Phase JP Nagar,1331.95,2.0,69.0,2
360,A Narayanapura,600.0,2.0,35.0,1
361,A Narayanapura,1500.0,2.0,85.0,1
362,AECS Layout,1100.0,2.0,45.0,2
363,AECS Layout,1028.0,2.0,42.0,2
364,AECS Layout,1199.0,2.0,65.0,2
365,AECS Layout,1080.0,2.0,55.0,2
366,AECS Layout,1123.0,2.0,64.0,2
367,AECS Layout,1308.0,2.0,60.0,2
368,AECS Layout,1005.0,2.0,55.0,2
370,AGS Layout,1450.0,2.0,85.0,3
371,AGS Layout,1040.0,2.0,46.79,2
372,AGS Layout,1936.0,3.0,110.0,3
373,AGS Layout,1075.0,2.0,48.38,2
374,AMS Layout,1650.0,2.0,80.0,3
375,AMS Layout,1200.0,4.0,80.0,3
376,Abbaiah Reddy Layout,1310.0,2.0,50.0,3
377,Abbaiah Reddy Layout,1100.0,2.0,38.45,2
378,Abbaiah Reddy Layout,1100.0,2.0,38.49,2
379,Abbaiah Reddy Layout,1190.0,2.0,41.0,2
380,Abbaiah Reddy Layout,1100.0,2.0,38.5,2
381,Abbigere,985.0,2.0,40.39,2
382,Abbigere,2200.0,6.0,68.0,6
383,Abbigere,765.0,2.0,30.0,1
384,Abbigere,880.0,2.0,35.0,2
385,Abbigere,795.0,2.0,32.54,2
386,Abbigere,1005.0,2.0,39.59,2
387,Abbigere,734.0,1.0,19.82,1
389,Abbigere,1020.0,2.0,41.82,2
390,Abbigere,985.0,2.0,40.39,2
391,Abbigere,2500.0,6.0,81.0,6
392,Abbigere,795.0,2.0,32.54,2
393,Abbigere,1130.0,2.0,46.33,2
394,Abbigere,795.0,1.0,32.6,2
395,Abbigere,3000.0,8.0,150.0,8
396,Abbigere,985.0,2.0,38.92,2
397,Abbigere,1000.0,2.0,41.0,2
398,Abbigere,995.0,2.0,40.8,2
399,Abbigere,1020.0,2.0,40.8,2
400,Agrahara Dasarahalli,800.0,1.0,72.0,1
401,Agrahara Dasarahalli,1350.0,1.0,120.0,3
402,Aishwarya Crystal Layout,2250.0,3.0,113.0,3
403,Akshaya Nagar,1388.0,2.0,57.0,2
404,Akshaya Nagar,1070.0,2.0,54.0,2
405,Akshaya Nagar,1280.0,2.0,58.0,2
406,Akshaya Nagar,1662.0,3.0,85.1,3
407,Akshaya Nagar,1897.0,3.0,120.0,3
408,Akshaya Nagar,1410.0,2.0,75.0,3
409,Akshaya Nagar,1360.0,2.0,85.0,3
411,Akshaya Nagar,1410.0,2.0,80.0,3
412,Akshaya Nagar,1662.0,3.0,85.0,3
413,Akshaya Nagar,1662.0,3.0,85.5,3
414,Akshaya Nagar,1280.0,2.0,60.0,2
415,Akshaya Nagar,1666.0,3.0,95.0,3
416,Akshaya Nagar,1575.0,3.0,90.0,3
417,Akshaya Nagar,1430.0,2.0,75.0,3
418,Akshaya Nagar,1419.0,2.0,73.0,3
419,Akshaya Nagar,1280.0,2.0,60.0,2
420,Akshaya Nagar,1200.0,2.0,50.0,2
421,Akshaya Nagar,1092.0,2.0,60.0,2
422,Akshaya Nagar,1690.0,3.0,85.0,3
424,Akshaya Nagar,1897.0,4.0,93.0,3
425,Akshaya Nagar,1884.0,3.0,98.0,3
426,Akshaya Nagar,1314.0,2.0,68.8,2
427,Akshaya Nagar,1690.0,3.0,85.0,3
428,Akshaya Nagar,1265.0,2.0,67.0,2
429,Akshaya Nagar,1126.0,2.0,55.0,2
431,Akshaya Nagar,1662.0,3.0,90.0,3
432,Akshaya Nagar,1420.0,2.0,75.0,3
433,Akshaya Nagar,1412.0,2.0,88.0,3
434,Akshaya Nagar,1434.0,3.0,84.0,3
435,Akshaya Nagar,1890.0,4.0,100.0,3
437,Akshaya Nagar,1419.0,2.0,87.0,3
438,Akshaya Nagar,1300.0,2.0,54.0,2
439,Akshaya Nagar,1690.0,3.0,85.0,3
440,Akshaya Nagar,1113.0,2.0,52.0,2
441,Akshaya Nagar,1820.0,4.0,95.0,3
442,Akshaya Nagar,1100.0,2.0,48.0,2
443,Akshaya Nagar,1896.0,3.0,102.0,3
444,Akshaya Nagar,1300.0,2.0,66.0,2
445,Akshaya Nagar,1225.0,2.0,68.0,2
446,Akshaya Nagar,1179.0,2.0,51.0,2
447,Akshaya Nagar,1421.0,2.0,73.0,3
448,Akshaya Nagar,1893.0,4.0,95.0,3
449,Akshaya Nagar,900.0,2.0,45.0,2
450,Akshaya Vana,4000.0,4.0,170.0,4
451,Akshaya Vana,1300.0,2.0,49.0,3
452,Akshaya Vana,1280.0,2.0,49.0,3
453,Akshaya Vana,1141.0,2.0,55.0,2
454,Akshaya Vana,1260.0,2.0,49.0,3
455,Akshaya Vana,1427.0,2.0,52.0,2
456,Akshayanagara East,1693.0,3.0,108.0,3
457,Akshayanagara East,1210.0,2.0,76.0,2
458,Akshayanagara East,1519.0,3.0,67.23,3
459,Akshayanagara East,1595.0,3.0,70.39,3
460,Akshayanagara East,1230.0,2.0,50.0,2
461,Akshayanagara East,595.0,1.0,40.0,1
462,Akshayanagara East,1145.0,2.0,44.0,2
463,Akshayanagara West,1410.0,2.0,75.0,2
464,Akshya Nagar,2400.0,6.0,130.0,6
465,Akshya Nagar,1380.0,2.0,75.0,2
466,Akshya Nagar,1320.0,2.0,58.0,3
467,Alfa Garden Layout,1240.0,2.0,43.79,2
468,Alfa Garden Layout,1050.0,2.0,38.0,2
469,Alfa Garden Layout,1190.0,2.0,46.41,2
470,Alur,530.0,1.0,20.0,1
471,Alur,425.0,1.0,15.0,1
472,Amam Enclave Layout,1013.0,2.0,60.0,2
473,Amarjyothi Colony,1355.0,3.0,61.0,3
474,Ambalipura,1105.0,2.0,75.0,2
475,Ambalipura,1800.0,3.0,110.0,3
476,Ambalipura,1150.0,2.0,80.0,2
477,Ambalipura,1250.0,2.0,66.25,2
478,Ambalipura,1332.0,2.0,79.0,2
479,Ambalipura,1730.0,3.0,120.0,3
481,Ambalipura,1230.0,2.0,66.25,2
482,Ambalipura,1351.0,2.0,77.0,2
486,Ambalipura,1303.0,2.0,80.0,2
487,Ambalipura,1607.0,2.0,112.0,3
488,Ambalipura,770.0,1.0,43.82,1
489,Ambalipura,1700.0,2.0,76.0,2
490,Ambalipura,1060.0,2.0,58.5,2
491,Ambalipura,1650.0,3.0,100.0,3
492,Ambalipura,1607.0,2.0,112.0,3
493,Ambalipura,1198.0,2.0,80.0,2
494,Ambedkar Colony,1468.0,2.0,140.0,2
495,Ambedkar Colony,1463.0,1.0,142.0,2
496,Ambedkar Colony,1910.0,3.0,190.0,3
497,Ambedkar Colony,1464.0,2.0,145.0,2
498,Ambedkar Nagar,1935.0,4.0,130.0,3
499,Ambedkar Nagar,1424.0,2.0,90.0,2
500,Ambedkar Nagar,2225.0,4.0,169.0,3
501,Ambedkar Nagar,1862.0,3.0,120.0,3
502,Ambedkar Nagar,1850.0,4.0,139.0,3
503,Ambedkar Nagar,1936.0,4.0,126.0,3
504,Ambedkar Nagar,1862.0,3.0,119.0,3
505,Ambedkar Nagar,1424.0,2.0,90.0,2
506,Ambedkar Nagar,2150.0,4.0,125.0,3
507,Ambedkar Nagar,3530.0,4.0,290.0,4
508,Ambedkar Nagar,1856.0,3.0,120.0,3
509,Ambedkar Nagar,1852.0,3.0,130.0,3
510,Ambedkar Nagar,1850.0,4.0,120.0,3
511,Ambedkar Nagar,1367.0,2.0,86.0,2
512,Ambedkar Nagar,3565.0,4.0,255.0,4
513,Ambedkar Nagar,1409.0,2.0,95.0,2
514,Ambedkar Nagar,1950.0,4.0,120.0,3
515,Ambedkar Nagar,1921.0,4.0,129.0,3
516,Ambedkar Nagar,1920.0,4.0,121.0,3
517,Ambedkar Nagar,1935.0,4.0,125.0,3
518,Ambedkar Nagar,1852.0,4.0,122.0,3
519,Ambedkar Nagar,1950.0,4.0,120.0,3
520,Ambedkar Nagar,1852.0,3.0,125.0,3
521,Ambedkar Nagar,1850.0,4.0,121.0,3
522,Ambedkar Nagar,1425.0,2.0,94.0,2
523,Ambedkar Nagar,2395.0,4.0,150.0,3
524,Amblipura,1605.0,3.0,100.0,3
525,Amblipura,1300.0,2.0,80.0,3
526,Amblipura,1175.0,2.0,83.0,2
527,Amruthahalli,900.0,2.0,40.0,2
528,Amruthahalli,1200.0,2.0,55.0,2
529,Amruthahalli,1900.0,3.0,135.0,3
530,Amruthahalli,924.0,2.0,45.0,2
531,Amruthahalli,900.0,2.0,60.0,2
532,Amruthahalli,1100.0,2.0,45.0,2
533,Amruthahalli,1200.0,2.0,55.0,2
537,Amruthahalli,1450.0,2.0,85.0,3
538,Amruthahalli,1200.0,2.0,55.0,2
539,Amruthahalli,1250.0,2.0,79.0,2
540,Amruthahalli,1190.0,2.0,50.0,2
541,Amruthahalli,1202.0,2.0,65.0,2
542,Amruthahalli,1340.0,2.0,75.0,2
543,Amruthahalli,2650.0,4.0,175.0,3
544,Amruthahalli,1450.0,2.0,90.0,3
545,Amruthahalli,1025.0,2.0,42.0,2
546,Amruthahalli,485.0,1.0,19.5,1
547,Amruthnagar,1350.0,2.0,67.5,2
548,Amruthnagar,1365.0,3.0,60.0,2
549,Amruthnagar,1000.0,2.0,51.0,2
550,Anand Nagar,1060.0,2.0,55.0,2
551,Anand Nagar,1135.0,2.0,55.0,2
552,Anand Nagar,3515.0,3.0,420.0,3
553,Anand Nagar,1080.0,2.0,75.0,3
554,Anand nagar,2010.0,3.0,125.0,3
555,Anandapura,1167.0,2.0,43.76,2
556,Anandapura,1000.0,2.0,55.0,2
557,Anandapura,1141.0,2.0,42.79,2
559,Anandapura,1200.0,2.0,67.0,2
560,Anandapura,1200.0,2.0,58.0,2
561,Anandapura,1151.0,2.0,43.1,2
